Date,Period_Type,Period,Region,Profile,Product,Period_Year,Description,Volume,Price,Moving Average,Standard Deviation,Upper Band,Lower Band,Box Plot,Series,Index,Flag Last 14 days,Period*
3/4/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$53.80 ,$53.91 ,$0.18 ,$54.28 ,$53.54 ,Boxplot,NSW Apr-14 Flat Swap,101,0,14-Apr
1/9/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.50 ,$56.37 ,$0.31 ,$56.98 ,$55.75 ,Boxplot,NSW Apr-14 Flat Swap,64,0,14-Apr
1/10/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.80 ,$56.43 ,$0.33 ,$57.08 ,$55.78 ,Boxplot,NSW Apr-14 Flat Swap,65,0,14-Apr
1/13/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.65 ,$56.46 ,$0.31 ,$57.08 ,$55.83 ,Boxplot,NSW Apr-14 Flat Swap,66,0,14-Apr
1/14/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.75 ,$56.49 ,$0.31 ,$57.10 ,$55.87 ,Boxplot,NSW Apr-14 Flat Swap,67,0,14-Apr
1/15/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.75 ,$56.52 ,$0.30 ,$57.12 ,$55.91 ,Boxplot,NSW Apr-14 Flat Swap,68,0,14-Apr
1/16/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.35 ,$56.50 ,$0.29 ,$57.08 ,$55.92 ,Boxplot,NSW Apr-14 Flat Swap,69,0,14-Apr
1/17/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.00 ,$56.46 ,$0.31 ,$57.08 ,$55.83 ,Boxplot,NSW Apr-14 Flat Swap,70,0,14-Apr
1/20/2014,Monthly,14-Apr,NSW,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.00 ,$56.42 ,$0.32 ,$57.07 ,$55.77 ,Boxplot,NSW Apr-14 Flat Swap,71,0,14-Apr
1/21/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.00 ,$56.39 ,$0.33 ,$57.06 ,$55.73 ,Boxplot,NSW Apr-14 Flat Swap,72,0,14-Apr
1/22/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.80 ,$56.33 ,$0.35 ,$57.02 ,$55.63 ,Boxplot,NSW Apr-14 Flat Swap,73,0,14-Apr
1/23/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.80 ,$56.26 ,$0.36 ,$56.99 ,$55.54 ,Boxplot,NSW Apr-14 Flat Swap,74,0,14-Apr
1/24/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.85 ,$56.24 ,$0.38 ,$57.00 ,$55.49 ,Boxplot,NSW Apr-14 Flat Swap,75,0,14-Apr
1/2/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$56.75 ,$56.75 ,,$56.75 ,$56.75 ,Boxplot,NSW Apr-14 Flat Swap,59,0,14-Apr
1/28/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.85 ,$56.23 ,$0.39 ,$57.01 ,$55.46 ,Boxplot,NSW Apr-14 Flat Swap,76,0,14-Apr
1/29/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.40 ,$56.18 ,$0.45 ,$57.07 ,$55.28 ,Boxplot,NSW Apr-14 Flat Swap,77,0,14-Apr
1/30/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.40 ,$56.10 ,$0.48 ,$57.06 ,$55.14 ,Boxplot,NSW Apr-14 Flat Swap,78,0,14-Apr
1/31/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$55.10 ,$55.98 ,$0.51 ,$56.99 ,$54.97 ,Boxplot,NSW Apr-14 Flat Swap,79,0,14-Apr
2/3/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$54.90 ,$55.85 ,$0.54 ,$56.94 ,$54.77 ,Boxplot,NSW Apr-14 Flat Swap,80,0,14-Apr
2/4/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$54.65 ,$55.70 ,$0.56 ,$56.83 ,$54.57 ,Boxplot,NSW Apr-14 Flat Swap,81,0,14-Apr
2/5/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$54.30 ,$55.53 ,$0.59 ,$56.72 ,$54.34 ,Boxplot,NSW Apr-14 Flat Swap,82,0,14-Apr
2/6/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$54.30 ,$55.38 ,$0.63 ,$56.64 ,$54.13 ,Boxplot,NSW Apr-14 Flat Swap,83,0,14-Apr
2/7/2014,Monthly,14-Apr,NSWasdasdasdasd,Flat,Swap,2014,NSW | Apr-14 | Flat | Swap,0,$54.30 ,$55.26 ,$0.66 ,$56.59 ,$53.94 ,Boxplot,NSW Apr-14 Flat Swap,84,0,14-Apr
